Glass #,Author,Year,Al2O3,CaO,SiO2,"Density at 20°C, g/cm3","Young`s modulus, GPa",total_mol
44504,Eagan R.J.,1978,8,32,60,2.708,92.9,100
44505,Eagan R.J.,1978,13.3,26.7,60,2.628,91.6,100
44506,Eagan R.J.,1978,20,20,60,2.602,93.3,100
44507,Eagan R.J.,1978,22.6,17.4,60,2.606,98,100
4641,Yamane M.,1982,2.943777,32.11469,64.94154,2.661,87.2,100.000007
4642,Yamane M.,1982,6.01088,32.78739,61.20173,2.728,90.1,100
4643,Yamane M.,1982,12.54742,34.22105,53.23153,2.763,93.3,100
4644,Yamane M.,1982,19.68174,35.78582,44.53244,2.76,98.8,100
4645,Yamane M.,1982,27.49975,37.50054,34.99971,2.805,103,100
4646,Yamane M.,1982,36.10469,39.38786,24.50744,2.827,108,99.99999
58918,Sakka S.,1983,24,36,40,2.786,105,100
42940,Ecolivet C.,1984,10,30,60,2.67,86.2,100
142894,Onoda G.Y.,1970,30,66,4,2.95,99.9,100
142909,Onoda G.Y.,1970,30,63,7,2.96,100,100
142914,Onoda G.Y.,1970,30,60,10,2.96,101,100
142926,Onoda G.Y.,1970,32,64,4,2.96,99.9,100
172746,Inaba S.,1999,30,40,30,2.84,103,100
172747,Inaba S.,1999,30,60,10,2.93,106,100
189252,Hwa Luu-Gen,2000,26.7,53.3,20,3.011,98,100
189253,Hwa Luu-Gen,2000,34,51,15,2.991,107,100
189254,Hwa Luu-Gen,2000,28.3,56.7,15,2.974,110,100
189255,Hwa Luu-Gen,2000,26.6,58.4,15,2.972,106,100
189256,Hwa Luu-Gen,2000,30,60,10,3.043,112,100
189257,Hwa Luu-Gen,2000,31.7,63.3,5,3.011,99.8,100
307594,Inaba S.,2001,10,30,60,2.7,89.4,100
307572,Hwa Luu-Gen,2002,39,58.5,2.5,2.884,116,100
307573,Hwa Luu-Gen,2002,38,57,5,2.891,111,100
307574,Hwa Luu-Gen,2002,37,55.5,7.5,2.891,111,100
307575,Hwa Luu-Gen,2002,36,54,10,2.871,109,100
307576,Hwa Luu-Gen,2002,35,52.5,12.5,2.872,106,100
307577,Hwa Luu-Gen,2002,34,51,15,2.856,116,100
307578,Hwa Luu-Gen,2002,33,49.5,17.5,2.87,104,100
307579,Hwa Luu-Gen,2002,32,48,20,2.87,105,100
356589,Sugimura S.,2002,10,30,60,2.7,89,100
380712,Deriano S.,2004,16.2,41.9,41.9,2.84,98,100
391615,Schilling F.R.,2001,25.04763,25.52352,49.42885,2.699,97.5,100